                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.9013,2.5306,1.8805,1.7075,4.1344,1.6515,0.1231,0.10555,0.04091,0.01253,2.7913,4.0086,2.8726,2.5941,6.3265,2.5019,0.00066222,0.00066222,0.00066222
2,1.9013,2.2129,1.8547,1.7766,2.9717,1.6685,0.32672,0.28688,0.22319,0.09168,2.0455,2.7186,2.1549,1.8913,3.2962,1.9179,0.0013157,0.0013157,0.0013157
3,1.8794,2.0987,1.821,1.8028,2.6378,1.6673,0.29701,0.2946,0.20604,0.07595,2.1379,3.3808,2.1453,2.0381,3.9898,1.9711,0.001956,0.001956,0.001956
4,1.8902,2.0535,1.815,1.8418,2.5502,1.66,0.35617,0.31417,0.2479,0.10144,2.1146,2.4001,2.1403,2.0126,2.8284,1.9468,0.0019406,0.0019406,0.0019406
5,1.825,1.9631,1.7655,1.7999,2.4072,1.6537,0.44796,0.361,0.34014,0.14375,2.0105,2.2168,2.0041,1.9377,2.624,1.8566,0.0019406,0.0019406,0.0019406
6,1.7999,1.8748,1.7369,1.788,2.2913,1.6184,0.52875,0.41229,0.4187,0.19057,1.904,1.9513,1.9013,1.8635,2.3945,1.7747,0.0019208,0.0019208,0.0019208
7,1.767,1.8285,1.712,1.7602,2.2459,1.601,0.558,0.42592,0.44131,0.19657,1.9171,1.9402,1.8928,1.8977,2.3155,1.7915,0.001901,0.001901,0.001901
8,1.7469,1.7853,1.6921,1.7471,2.1932,1.5959,0.47004,0.3169,0.31349,0.13924,2.0512,2.2811,1.9996,1.9639,2.762,1.8755,0.0018812,0.0018812,0.0018812
9,1.7342,1.7612,1.6906,1.7363,2.1625,1.5845,0.57473,0.45491,0.48106,0.23595,1.8082,1.7273,1.8097,1.8106,2.0385,1.7219,0.0018614,0.0018614,0.0018614
10,1.6996,1.7095,1.6597,1.7086,2.1019,1.5588,0.597,0.46506,0.49328,0.2397,1.8107,1.8082,1.7545,1.8152,2.1421,1.6785,0.0018416,0.0018416,0.0018416
11,1.6938,1.6769,1.6493,1.7009,2.0616,1.5608,0.57536,0.43657,0.46178,0.21564,1.8759,1.9613,1.8126,1.8507,2.5031,1.7314,0.0018218,0.0018218,0.0018218
